,SUBDIVISION,YEAR,ANNUAL PRECIPITATION,QUARTER,PRECIPITATION,SEVERITY1,TERRAIN,CLIMATE,SEVERITY
45,ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Mar-May,352.2,0,Island,Tropical,0
46,ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Jun-Sep,1689.3,0,Island,Tropical,3
47,ANDAMAN & NICOBAR ISLANDS,1991,2535.8,Oct-Dec,476.2,0,Island,Tropical,0
48,ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Jan-Feb,86.8,0,Island,Tropical,0
49,ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Mar-May,246.8,0,Island,Tropical,0
50,ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Jun-Sep,1436.2,0,Island,Tropical,2
51,ANDAMAN & NICOBAR ISLANDS,1992,2098.7,Oct-Dec,328.8,0,Island,Tropical,0
52,ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Jan-Feb,14.9,0,Island,Tropical,0
53,ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Mar-May,355.0,0,Island,Tropical,0
54,ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Jun-Sep,1312.5,0,Island,Tropical,2
55,ANDAMAN & NICOBAR ISLANDS,1993,2237.4,Oct-Dec,555.0,0,Island,Tropical,0
56,ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Jan-Feb,42.6,0,Island,Tropical,0
57,ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Mar-May,687.2,0,Island,Tropical,0
58,ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Jun-Sep,2191.5,3,Island,Tropical,3
59,ANDAMAN & NICOBAR ISLANDS,1994,3262.8,Oct-Dec,341.5,0,Island,Tropical,0
60,ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Jan-Feb,64.3,0,Island,Tropical,0
61,ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Mar-May,348.1,0,Island,Tropical,0
62,ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Jun-Sep,1933.9,0,Island,Tropical,4
63,ANDAMAN & NICOBAR ISLANDS,1995,3115.4,Oct-Dec,769.2,0,Island,Tropical,0
64,ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Jan-Feb,57.0,0,Island,Tropical,0
65,ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Mar-May,424.1,0,Island,Tropical,0
66,ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Jun-Sep,1764.3,0,Island,Tropical,4
67,ANDAMAN & NICOBAR ISLANDS,1996,2996.9,Oct-Dec,751.5,0,Island,Tropical,0
68,ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Jan-Feb,9.5,0,Island,Tropical,0
69,ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Mar-May,296.9,0,Island,Tropical,0
70,ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Jun-Sep,1988.8,0,Island,Tropical,4
71,ANDAMAN & NICOBAR ISLANDS,1997,2755.1,Oct-Dec,459.9,0,Island,Tropical,0
72,ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Jan-Feb,0.9,0,Island,Tropical,0
73,ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Mar-May,348.9,0,Island,Tropical,0
74,ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Jun-Sep,1561.2,0,Island,Tropical,3
75,ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Oct-Dec,935.4,0,Island,Tropical,0
76,ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Jan-Feb,91.4,0,Island,Tropical,0
77,ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Mar-May,542.2,0,Island,Tropical,0
78,ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Jun-Sep,1358.0,0,Island,Tropical,2
79,ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Oct-Dec,708.1,0,Island,Tropical,0
80,ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Jan-Feb,112.0,0,Island,Tropical,0
81,ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Mar-May,812.2,0,Island,Tropical,0
82,ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Jun-Sep,1244.2,0,Island,Tropical,1
83,ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Oct-Dec,594.7,0,Island,Tropical,0
84,ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Jan-Feb,104.7,0,Island,Tropical,0
85,ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Mar-May,878.7,0,Island,Tropical,0
86,ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Jun-Sep,1515.4,0,Island,Tropical,3
87,ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Oct-Dec,582.0,0,Island,Tropical,0
88,ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Jan-Feb,10.7,0,Island,Tropical,0
89,ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Mar-May,478.4,0,Island,Tropical,0
90,ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Jun-Sep,1525.6,0,Island,Tropical,3
91,ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Oct-Dec,605.5,0,Island,Tropical,0
92,ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Jan-Feb,52.2,0,Island,Tropical,0
93,ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Mar-May,465.0,0,Island,Tropical,0
94,ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Jun-Sep,1406.1,0,Island,Tropical,2
95,ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Oct-Dec,432.5,0,Island,Tropical,0
96,ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Jan-Feb,90.4,0,Island,Tropical,0
97,ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Mar-May,583.2,0,Island,Tropical,0
98,ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Jun-Sep,1392.2,0,Island,Tropical,2
99,ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Oct-Dec,394.2,0,Island,Tropical,0
100,ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Jan-Feb,0.0,0,Island,Tropical,0
101,ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Mar-May,376.8,0,Island,Tropical,0
102,ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Jun-Sep,1700.4,0,Island,Tropical,3
103,ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Oct-Dec,877.5,0,Island,Tropical,0
104,ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Jan-Feb,30.7,0,Island,Tropical,0
105,ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Mar-May,534.0,0,Island,Tropical,0
106,ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Jun-Sep,1314.9,0,Island,Tropical,2
107,ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Oct-Dec,525.2,0,Island,Tropical,0
108,ANDAMAN & NICOBAR ISLANDS,2007,2748.0,Jan-Feb,6.5,0,Island,Tropical,0
109,ANDAMAN & NICOBAR ISLANDS,2007,2748.0,Mar-May,429.6,0,Island,Tropical,0
110,ANDAMAN & NICOBAR ISLANDS,2007,2748.0,Jun-Sep,1793.1,0,Island,Tropical,4
111,ANDAMAN & NICOBAR ISLANDS,2007,2748.0,Oct-Dec,518.9,0,Island,Tropical,0
112,ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Jan-Feb,77.6,0,Island,Tropical,0
113,ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Mar-May,877.3,0,Island,Tropical,0
114,ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Jun-Sep,1783.1,2,Island,Tropical,2
115,ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Oct-Dec,636.8,0,Island,Tropical,0
116,ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Jan-Feb,30.8,0,Island,Tropical,0
117,ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Mar-May,493.7,0,Island,Tropical,0
118,ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Jun-Sep,1627.1,0,Island,Tropical,3
119,ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Oct-Dec,386.9,0,Island,Tropical,0
120,ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Jan-Feb,109.8,0,Island,Tropical,0
121,ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Mar-May,332.2,0,Island,Tropical,0
122,ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Jun-Sep,1797.8,1,Island,Tropical,1
123,ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Oct-Dec,917.3,0,Island,Tropical,0
124,ANDAMAN & NICOBAR ISLANDS,2011,3828.0,Jan-Feb,350.7,0,Island,Tropical,0
125,ANDAMAN & NICOBAR ISLANDS,2011,3828.0,Mar-May,710.7,0,Island,Tropical,0
126,ANDAMAN & NICOBAR ISLANDS,2011,3828.0,Jun-Sep,2165.0,2,Island,Tropical,2
127,ANDAMAN & NICOBAR ISLANDS,2011,3828.0,Oct-Dec,601.6,0,Island,Tropical,0
128,ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Jan-Feb,165.6,0,Island,Tropical,0
129,ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Mar-May,620.5,0,Island,Tropical,0
130,ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Jun-Sep,2014.0,2,Island,Tropical,2
131,ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Oct-Dec,697.5,0,Island,Tropical,0
132,ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Jan-Feb,104.7,0,Island,Tropical,0
133,ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Mar-May,598.6,0,Island,Tropical,0
134,ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Jun-Sep,2152.1,2,Island,Tropical,2
135,ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Oct-Dec,902.4,0,Island,Tropical,0
136,ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Jan-Feb,50.5,0,Island,Tropical,0
137,ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Mar-May,249.1,0,Island,Tropical,0
138,ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Jun-Sep,1618.7,0,Island,Tropical,3
139,ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Oct-Dec,704.2,0,Island,Tropical,0
140,ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Jan-Feb,134.4,0,Island,Tropical,0
141,ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Mar-May,473.2,0,Island,Tropical,0
142,ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Jun-Sep,1678.6,0,Island,Tropical,3
143,ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Oct-Dec,618.4,0,Island,Tropical,0
144,ARUNACHAL PRADESH,1980,3215.3,Jan-Feb,195.9,0,Hilly,Sub-tropical,0
145,ARUNACHAL PRADESH,1980,3215.3,Mar-May,868.9,0,Hilly,Sub-tropical,0
146,ARUNACHAL PRADESH,1980,3215.3,Jun-Sep,1957.1,0,Hilly,Sub-tropical,4
147,ARUNACHAL PRADESH,1980,3215.3,Oct-Dec,193.3,0,Hilly,Sub-tropical,0
148,ARUNACHAL PRADESH,1981,2790.9,Jan-Feb,229.2,0,Hilly,Sub-tropical,0
149,ARUNACHAL PRADESH,1981,2790.9,Mar-May,737.6,0,Hilly,Sub-tropical,0
150,ARUNACHAL PRADESH,1981,2790.9,Jun-Sep,1667.4,0,Hilly,Sub-tropical,3
151,ARUNACHAL PRADESH,1981,2790.9,Oct-Dec,156.7,0,Hilly,Sub-tropical,0
152,ARUNACHAL PRADESH,1982,2779.5,Jan-Feb,106.8,0,Hilly,Sub-tropical,0
153,ARUNACHAL PRADESH,1982,2779.5,Mar-May,727.9,0,Hilly,Sub-tropical,0
154,ARUNACHAL PRADESH,1982,2779.5,Jun-Sep,1746.4,0,Hilly,Sub-tropical,3
155,ARUNACHAL PRADESH,1982,2779.5,Oct-Dec,198.3,0,Hilly,Sub-tropical,0
156,ARUNACHAL PRADESH,1983,3335.3,Jan-Feb,236.5,0,Hilly,Sub-tropical,0
157,ARUNACHAL PRADESH,1983,3335.3,Mar-May,870.7,0,Hilly,Sub-tropical,0
158,ARUNACHAL PRADESH,1983,3335.3,Jun-Sep,1980.6,1,Hilly,Sub-tropical,0
159,ARUNACHAL PRADESH,1983,3335.3,Oct-Dec,247.4,0,Hilly,Sub-tropical,0
160,ARUNACHAL PRADESH,1984,3278.0,Jan-Feb,140.8,0,Hilly,Sub-tropical,0
161,ARUNACHAL PRADESH,1984,3278.0,Mar-May,1004.9,1,Hilly,Sub-tropical,0
162,ARUNACHAL PRADESH,1984,3278.0,Jun-Sep,1853.0,0,Hilly,Sub-tropical,4
163,ARUNACHAL PRADESH,1984,3278.0,Oct-Dec,279.3,0,Hilly,Sub-tropical,0
164,ARUNACHAL PRADESH,1985,3266.2,Jan-Feb,135.0,0,Hilly,Sub-tropical,0
165,ARUNACHAL PRADESH,1985,3266.2,Mar-May,948.2,0,Hilly,Sub-tropical,0
166,ARUNACHAL PRADESH,1985,3266.2,Jun-Sep,1992.2,1,Hilly,Sub-tropical,0
167,ARUNACHAL PRADESH,1985,3266.2,Oct-Dec,190.7,0,Hilly,Sub-tropical,0
168,ARUNACHAL PRADESH,1986,2495.6,Jan-Feb,109.5,0,Hilly,Sub-tropical,0
169,ARUNACHAL PRADESH,1986,2495.6,Mar-May,559.8,0,Hilly,Sub-tropical,0
170,ARUNACHAL PRADESH,1986,2495.6,Jun-Sep,1599.1,0,Hilly,Sub-tropical,3
171,ARUNACHAL PRADESH,1986,2495.6,Oct-Dec,227.2,0,Hilly,Sub-tropical,0
172,ARUNACHAL PRADESH,1987,3433.2,Jan-Feb,76.2,0,Hilly,Sub-tropical,0
173,ARUNACHAL PRADESH,1987,3433.2,Mar-May,730.4,0,Hilly,Sub-tropical,0
174,ARUNACHAL PRADESH,1987,3433.2,Jun-Sep,2461.9,2,Hilly,Sub-tropical,0
175,ARUNACHAL PRADESH,1987,3433.2,Oct-Dec,164.8,0,Hilly,Sub-tropical,0
176,ARUNACHAL PRADESH,1988,4155.3,Jan-Feb,169.2,0,Hilly,Sub-tropical,0
177,ARUNACHAL PRADESH,1988,4155.3,Mar-May,1065.4,1,Hilly,Sub-tropical,0
178,ARUNACHAL PRADESH,1988,4155.3,Jun-Sep,2457.0,0,Hilly,Sub-tropical,5
179,ARUNACHAL PRADESH,1988,4155.3,Oct-Dec,463.6,0,Hilly,Sub-tropical,0
180,ARUNACHAL PRADESH,1989,3281.6,Jan-Feb,224.5,0,Hilly,Sub-tropical,0
181,ARUNACHAL PRADESH,1989,3281.6,Mar-May,721.2,0,Hilly,Sub-tropical,0
182,ARUNACHAL PRADESH,1989,3281.6,Jun-Sep,1956.8,1,Hilly,Sub-tropical,0
183,ARUNACHAL PRADESH,1989,3281.6,Oct-Dec,379.1,0,Hilly,Sub-tropical,0
184,ARUNACHAL PRADESH,1990,3604.0,Jan-Feb,167.2,0,Hilly,Sub-tropical,0
185,ARUNACHAL PRADESH,1990,3604.0,Mar-May,805.1,0,Hilly,Sub-tropical,0
186,ARUNACHAL PRADESH,1990,3604.0,Jun-Sep,2369.5,2,Hilly,Sub-tropical,0
187,ARUNACHAL PRADESH,1990,3604.0,Oct-Dec,262.3,0,Hilly,Sub-tropical,0
188,ARUNACHAL PRADESH,1991,3434.4,Jan-Feb,110.9,0,Hilly,Sub-tropical,0
189,ARUNACHAL PRADESH,1991,3434.4,Mar-May,727.7,0,Hilly,Sub-tropical,0
190,ARUNACHAL PRADESH,1991,3434.4,Jun-Sep,2303.9,2,Hilly,Sub-tropical,0
191,ARUNACHAL PRADESH,1991,3434.4,Oct-Dec,291.9,0,Hilly,Sub-tropical,0
192,ARUNACHAL PRADESH,1992,2707.0,Jan-Feb,162.1,0,Hilly,Sub-tropical,0
193,ARUNACHAL PRADESH,1992,2707.0,Mar-May,620.3,0,Hilly,Sub-tropical,0
194,ARUNACHAL PRADESH,1992,2707.0,Jun-Sep,1702.7,0,Hilly,Sub-tropical,3
195,ARUNACHAL PRADESH,1992,2707.0,Oct-Dec,221.8,0,Hilly,Sub-tropical,0
196,ARUNACHAL PRADESH,1993,3348.9,Jan-Feb,221.1,0,Hilly,Sub-tropical,0
197,ARUNACHAL PRADESH,1993,3348.9,Mar-May,673.3,0,Hilly,Sub-tropical,0
198,ARUNACHAL PRADESH,1993,3348.9,Jun-Sep,2203.7,2,Hilly,Sub-tropical,0
199,ARUNACHAL PRADESH,1993,3348.9,Oct-Dec,250.8,0,Hilly,Sub-tropical,0
200,ARUNACHAL PRADESH,1994,2287.4,Jan-Feb,120.8,0,Hilly,Sub-tropical,0
201,ARUNACHAL PRADESH,1994,2287.4,Mar-May,830.3,0,Hilly,Sub-tropical,0
202,ARUNACHAL PRADESH,1994,2287.4,Jun-Sep,1154.4,1,Hilly,Sub-tropical,0
203,ARUNACHAL PRADESH,1994,2287.4,Oct-Dec,181.9,0,Hilly,Sub-tropical,0
204,ARUNACHAL PRADESH,1995,3068.8,Jan-Feb,100.5,0,Hilly,Sub-tropical,0
205,ARUNACHAL PRADESH,1995,3068.8,Mar-May,647.1,0,Hilly,Sub-tropical,0
206,ARUNACHAL PRADESH,1995,3068.8,Jun-Sep,2155.2,2,Hilly,Sub-tropical,0
207,ARUNACHAL PRADESH,1995,3068.8,Oct-Dec,166.0,0,Hilly,Sub-tropical,0
208,ARUNACHAL PRADESH,1996,2520.5,Jan-Feb,91.8,0,Hilly,Sub-tropical,0
209,ARUNACHAL PRADESH,1996,2520.5,Mar-May,733.1,0,Hilly,Sub-tropical,0
210,ARUNACHAL PRADESH,1996,2520.5,Jun-Sep,1472.5,1,Hilly,Sub-tropical,0
211,ARUNACHAL PRADESH,1996,2520.5,Oct-Dec,223.0,0,Hilly,Sub-tropical,0
212,ARUNACHAL PRADESH,1997,2274.9,Jan-Feb,94.6,0,Hilly,Sub-tropical,0
213,ARUNACHAL PRADESH,1997,2274.9,Mar-May,465.8,0,Hilly,Sub-tropical,0
214,ARUNACHAL PRADESH,1997,2274.9,Jun-Sep,1583.7,1,Hilly,Sub-tropical,0
215,ARUNACHAL PRADESH,1997,2274.9,Oct-Dec,130.7,0,Hilly,Sub-tropical,0
216,ARUNACHAL PRADESH,1998,3616.7,Jan-Feb,105.6,0,Hilly,Sub-tropical,0
217,ARUNACHAL PRADESH,1998,3616.7,Mar-May,593.6,0,Hilly,Sub-tropical,0
218,ARUNACHAL PRADESH,1998,3616.7,Jun-Sep,2707.4,2,Hilly,Sub-tropical,0
219,ARUNACHAL PRADESH,1998,3616.7,Oct-Dec,210.2,0,Hilly,Sub-tropical,0
220,ARUNACHAL PRADESH,1999,2316.6,Jan-Feb,14.0,0,Hilly,Sub-tropical,0
221,ARUNACHAL PRADESH,1999,2316.6,Mar-May,543.2,0,Hilly,Sub-tropical,0
222,ARUNACHAL PRADESH,1999,2316.6,Jun-Sep,1519.0,0,Hilly,Sub-tropical,3
223,ARUNACHAL PRADESH,1999,2316.6,Oct-Dec,240.4,0,Hilly,Sub-tropical,0
224,ARUNACHAL PRADESH,2000,2596.8,Jan-Feb,101.2,0,Hilly,Sub-tropical,0
225,ARUNACHAL PRADESH,2000,2596.8,Mar-May,700.8,0,Hilly,Sub-tropical,0
226,ARUNACHAL PRADESH,2000,2596.8,Jun-Sep,1650.0,0,Hilly,Sub-tropical,3
227,ARUNACHAL PRADESH,2000,2596.8,Oct-Dec,144.8,0,Hilly,Sub-tropical,0
228,ARUNACHAL PRADESH,2001,2036.0,Jan-Feb,119.7,0,Hilly,Sub-tropical,0
229,ARUNACHAL PRADESH,2001,2036.0,Mar-May,560.5,0,Hilly,Sub-tropical,0
230,ARUNACHAL PRADESH,2001,2036.0,Jun-Sep,1147.8,0,Hilly,Sub-tropical,1
231,ARUNACHAL PRADESH,2001,2036.0,Oct-Dec,208.0,0,Hilly,Sub-tropical,0
232,ARUNACHAL PRADESH,2002,2389.2,Jan-Feb,111.4,0,Hilly,Sub-tropical,0
233,ARUNACHAL PRADESH,2002,2389.2,Mar-May,571.6,0,Hilly,Sub-tropical,0
234,ARUNACHAL PRADESH,2002,2389.2,Jun-Sep,1549.4,0,Hilly,Sub-tropical,3
235,ARUNACHAL PRADESH,2002,2389.2,Oct-Dec,156.9,0,Hilly,Sub-tropical,0
236,ARUNACHAL PRADESH,2003,2451.8,Jan-Feb,106.1,0,Hilly,Sub-tropical,0
237,ARUNACHAL PRADESH,2003,2451.8,Mar-May,465.2,0,Hilly,Sub-tropical,0
238,ARUNACHAL PRADESH,2003,2451.8,Jun-Sep,1656.6,0,Hilly,Sub-tropical,3
239,ARUNACHAL PRADESH,2003,2451.8,Oct-Dec,223.9,0,Hilly,Sub-tropical,0
240,ARUNACHAL PRADESH,2004,2545.7,Jan-Feb,77.1,0,Hilly,Sub-tropical,0
241,ARUNACHAL PRADESH,2004,2545.7,Mar-May,684.3,0,Hilly,Sub-tropical,0
242,ARUNACHAL PRADESH,2004,2545.7,Jun-Sep,1578.7,0,Hilly,Sub-tropical,3
243,ARUNACHAL PRADESH,2004,2545.7,Oct-Dec,205.6,0,Hilly,Sub-tropical,0
244,ARUNACHAL PRADESH,2005,2335.5,Jan-Feb,216.0,0,Hilly,Sub-tropical,0
245,ARUNACHAL PRADESH,2005,2335.5,Mar-May,604.6,0,Hilly,Sub-tropical,0
246,ARUNACHAL PRADESH,2005,2335.5,Jun-Sep,1343.7,0,Hilly,Sub-tropical,2
247,ARUNACHAL PRADESH,2005,2335.5,Oct-Dec,171.2,0,Hilly,Sub-tropical,0
248,ARUNACHAL PRADESH,2006,2259.6,Jan-Feb,109.7,0,Hilly,Sub-tropical,0
249,ARUNACHAL PRADESH,2006,2259.6,Mar-May,587.7,0,Hilly,Sub-tropical,0
250,ARUNACHAL PRADESH,2006,2259.6,Jun-Sep,1393.5,0,Hilly,Sub-tropical,2
251,ARUNACHAL PRADESH,2006,2259.6,Oct-Dec,168.7,0,Hilly,Sub-tropical,0
252,ARUNACHAL PRADESH,2007,3020.7,Jan-Feb,110.8,0,Hilly,Sub-tropical,0
253,ARUNACHAL PRADESH,2007,3020.7,Mar-May,590.9,0,Hilly,Sub-tropical,0
254,ARUNACHAL PRADESH,2007,3020.7,Jun-Sep,2185.1,2,Hilly,Sub-tropical,0
255,ARUNACHAL PRADESH,2007,3020.7,Oct-Dec,133.9,0,Hilly,Sub-tropical,0
256,ARUNACHAL PRADESH,2008,2244.4,Jan-Feb,116.4,0,Hilly,Sub-tropical,0
